City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Ostrovnoy,68.0531,39.5131,40.1,86,19,7.54,RU,2022-05-12 20:32:27
68,Bambous Virieux,-20.3428,57.7575,73.65,88,40,3.44,MU,2022-05-12 20:30:14
69,Tuktoyaktuk,69.4541,-133.0374,42.8,61,100,11.5,CA,2022-05-12 20:28:01
70,Qiongshan,20.0058,110.3542,76.98,100,40,2.24,CN,2022-05-12 20:32:28
71,Mataura,-46.1927,168.8643,47.48,93,99,2.73,NZ,2022-05-12 20:28:22
72,Batemans Bay,-35.7167,150.1833,61.11,94,100,4.23,AU,2022-05-12 20:27:35
73,Yarmouth,41.7057,-70.2286,67.96,85,40,8.05,US,2022-05-12 20:32:29
74,Puerto Ayora,-0.7393,-90.3518,80.56,88,52,1.99,EC,2022-05-12 20:27:43
75,Rayong,12.8333,101.4333,85.8,99,100,2.62,TH,2022-05-12 20:30:48
76,San Quintin,30.4833,-115.95,69.94,37,0,12.41,MX,2022-05-12 20:28:43
77,Dubbo,-32.25,148.6167,60.93,94,100,6.91,AU,2022-05-12 20:32:30
78,Hualmay,-11.0964,-77.6139,69.39,72,35,10.27,PE,2022-05-12 20:29:05
79,Lagoa,39.05,-27.9833,60.17,69,88,12.97,PT,2022-05-12 20:31:28
80,Saskylakh,71.9167,114.0833,10.85,93,57,13.49,RU,2022-05-12 20:27:48
81,Yulara,-25.2406,130.9889,54.23,64,0,7.11,AU,2022-05-12 20:29:52
82,Saldanha,-33.0117,17.9442,50.05,76,85,7.11,ZA,2022-05-12 20:29:02
83,Bubaque,11.2833,-15.8333,77.77,81,9,19.26,GW,2022-05-12 20:30:20
84,Sioux Lookout,50.1001,-91.917,59.07,67,100,9.22,CA,2022-05-12 20:32:31
85,Clyde River,70.4692,-68.5914,28.63,64,0,12.66,CA,2022-05-12 20:28:20
86,Kaitangata,-46.2817,169.8464,45.79,77,78,5.01,NZ,2022-05-12 20:30:01
87,Bilma,18.6853,12.9164,87.93,12,0,11.27,NE,2022-05-12 20:31:17
88,Maues,-3.3836,-57.7186,82.71,80,70,2.3,BR,2022-05-12 20:32:32
89,Pulandian,39.3953,121.9669,54.84,62,100,8.77,CN,2022-05-12 20:32:32
90,Hithadhoo,-0.6,73.0833,83.28,71,100,14.41,MV,2022-05-12 20:22:52
91,Chuy,-33.6971,-53.4616,59.07,63,56,8.05,UY,2022-05-12 20:29:03
92,Umea,63.8284,20.2597,49.93,71,0,11.5,SE,2022-05-12 20:31:39
93,Japura,-0.3167,102.35,72.41,98,100,0.4,ID,2022-05-12 20:29:00
94,Nome,64.5011,-165.4064,38.16,81,75,21.85,US,2022-05-12 20:31:43
95,Aboso,5.3617,-1.9473,76.12,95,100,2.98,GH,2022-05-12 20:32:34
96,Praia Da Vitoria,38.7333,-27.0667,62.85,72,75,9.26,PT,2022-05-12 20:32:35
97,Quatre Cocos,-20.2078,57.7625,73.51,86,20,10.07,MU,2022-05-12 20:30:20
98,Pittsfield,42.4501,-73.2454,84.83,44,75,8.05,US,2022-05-12 20:32:13
99,Castro,-24.7911,-50.0119,63.72,76,3,4.74,BR,2022-05-12 20:28:21
100,Mandalgovi,45.7625,106.2708,35.17,42,0,10.94,MN,2022-05-12 20:32:36
101,Gimli,50.6336,-96.9907,44.62,76,100,14.97,CA,2022-05-12 20:29:55
102,Chokurdakh,70.6333,147.9167,24.12,94,100,9.31,RU,2022-05-12 20:28:33
103,Tessalit,20.1986,1.0114,90.79,7,0,10.49,ML,2022-05-12 20:31:34
104,Yellowknife,62.456,-114.3525,46.92,57,40,10.36,CA,2022-05-12 20:26:56
105,Talnakh,69.4865,88.3972,34.21,98,99,5.06,RU,2022-05-12 20:30:04
106,Dunedin,-45.8742,170.5036,48.79,76,75,5.17,NZ,2022-05-12 20:24:14
107,Butaritari,3.0707,172.7902,81.34,77,100,17.83,KI,2022-05-12 20:27:43
108,New Norfolk,-42.7826,147.0587,48.65,90,1,2.3,AU,2022-05-12 20:27:39
109,Nouadhibou,20.931,-17.0347,69.78,78,10,19.57,MR,2022-05-12 20:28:39
110,Kabare,-2.4683,28.8242,60.98,96,100,0.74,CD,2022-05-12 20:32:38
111,Cabo San Lucas,22.8909,-109.9124,96.62,52,11,6.29,MX,2022-05-12 20:27:39
112,Kinarut,5.8231,116.0466,77.02,94,20,4.61,MY,2022-05-12 20:32:38
113,Samarai,-10.6167,150.6667,81.59,78,98,6.15,PG,2022-05-12 20:31:53
114,Sao Filipe,14.8961,-24.4956,75.27,73,65,10.25,CV,2022-05-12 20:31:03
115,Tuatapere,-46.1333,167.6833,48.36,85,100,3.96,NZ,2022-05-12 20:29:06
116,Ixtapa,20.7,-105.2,94.28,35,60,8.59,MX,2022-05-12 20:30:08
117,Kavieng,-2.5744,150.7967,81.52,73,100,8.55,PG,2022-05-12 20:29:18
118,Oktyabrskiy,54.4815,53.471,40.89,93,96,6.33,RU,2022-05-12 20:32:39
119,Pedra Azul,-16.0053,-41.2972,72.64,40,22,3.04,BR,2022-05-12 20:32:40
120,Lorengau,-2.0226,147.2712,81.91,74,99,6.26,PG,2022-05-12 20:31:10
121,Port Alfred,-33.5906,26.891,62.55,82,0,13.13,ZA,2022-05-12 20:28:02
122,Banda Aceh,5.5577,95.3222,81.0,78,97,11.99,ID,2022-05-12 20:32:41
123,Barrow,71.2906,-156.7887,26.62,80,100,9.22,US,2022-05-12 20:28:38
124,Andros Town,24.7,-77.7667,78.76,60,54,5.35,BS,2022-05-12 20:30:17
125,San Patricio,28.017,-97.5169,92.17,52,0,17.52,US,2022-05-12 20:31:26
126,Issaquah,47.5301,-122.0326,52.79,82,100,4.0,US,2022-05-12 20:31:21
127,Hambantota,6.1241,81.1185,80.31,82,94,16.35,LK,2022-05-12 20:28:08
128,Port Hardy,50.6996,-127.4199,48.38,71,75,4.61,CA,2022-05-12 20:30:06
129,Qaqortoq,60.7167,-46.0333,34.74,88,100,4.03,GL,2022-05-12 20:28:51
130,Galesong,-5.3166,119.3661,75.22,85,78,4.03,ID,2022-05-12 20:32:42
131,Bilyayivka,46.4832,30.2168,59.85,74,3,8.68,UA,2022-05-12 20:32:42
132,Lata,40.1629,-8.3327,60.69,67,19,2.28,PT,2022-05-12 20:29:15
